"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";"TP_SIGNAL_NAME";
"C1";"NF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C2";"10uF";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"27";"C";"";
"C3";"10uF";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"27";"C";"";
"C4";"470pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C7";"470pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C8";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C9";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C10";"10uF";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"27";"C";"";
"C11";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C12";"10uF";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"27";"C";"";
"C13";"NF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C14";"470pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";"";
"C15";"10uF";"CPOL-EUE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"27";"C";"";
"D1";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";"";
"D2";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";"";
"IC1";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"12";"";"";
"IC2";"NE5532D";"NE5532D";"SO08";"AUDIO AMPLIFIER";"";"";"";"";"0";"";"";
"J1";"";"J2X2MM";"04C";"Jumper switch 2 x 2.5 mm";"";"";"";"";"4";"";"";
"LDR1";"VTL5C4";"VTL5C9";"VTL5C";"Low Cost Axial Vactrols";"VACTEC PHOTO";"VTL5C9";"2067857";"95F9033";"0";"";"";
"LED1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";
"LED2";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";
"R1";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R2";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R4";"330k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R5";"330k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R6";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R7";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R8";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R9";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R10";"47k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R11";"NF";"R-EU_0309/V";"0309V";"RESISTOR, European symbol";"";"";"";"";"2";"R";"";
"R12";"390R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R13";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R14";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R15";"NF";"R-EU_0309/V";"0309V";"RESISTOR, European symbol";"";"";"";"";"2";"R";"";
"R16";"100R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R17";"NF";"R-EU_0309/V";"0309V";"RESISTOR, European symbol";"";"";"";"";"2";"R";"";
"R18";"100R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R19";"100R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R20";"NF";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R21";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R22";"47k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R23";"NF";"R-EU_0309/V";"0309V";"RESISTOR, European symbol";"";"";"";"";"2";"R";"";
"R24";"100R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"R25";"330k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"TP1";"+";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"2";"";"";
"TP2";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"2";"";"";
"TP3";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"2";"";"";
"TP4";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"2";"";"";
"X1";"POWER";"JST-XH-03-PIN-LONG-PAD";"JST-XH-03-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";
"X2";"AUDIO";"JST-XH-04-PIN-LONG-PAD";"JST-XH-04-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";
"ZD1";"3V";"ZENERSOD-123";"SOD-123";"Zener Diode SOD-323";"";"";"";"";"";"";"";
